STORE_NO,COST_CENTER_NAME,POS_TERM_NO,STATUS_CODE,DAD,MAX_TRAN_DT,TRAN_NO_LAST
1065,TOLEDO-SYLVANIA,13339,1,'01-01-19,1-Aug-18,11137
1066,LOCKPORT,10605,1,'02-01-16,1-Aug-18,814
1066,LOCKPORT,13419,1,'02-01-16,1-Aug-18,44591
1067,ASHLAND,11459,1,'02-08-25,1-Aug-18,55140
1067,ASHLAND,12555,1,'02-08-25,1-Aug-18,99324
1068,YOUNGSTOWN-AUSTINTOWN,11886,1,'01-01-06,1-Aug-18,59773
1068,YOUNGSTOWN-AUSTINTOWN,15325,1,'01-01-06,1-Aug-18,41909
1069,NORTH HUNTINGDON,10884,1,'02-08-19,1-Aug-18,96599
1069,NORTH HUNTINGDON,13446,1,'02-08-19,31-Jul-18,35832
1070,SALEM,10233,1,'01-01-74,1-Aug-18,33485
1070,SALEM,15397,1,'01-01-74,1-Aug-18,60882
1071,AKRON-LAKEMORE,10313,1,'01-01-06,1-Aug-18,11465
1071,AKRON-LAKEMORE,13966,1,'01-01-06,1-Aug-18,27976
1072,NORTON,11077,1,'02-02-26,1-Aug-18,99726
1072,NORTON,16233,1,'02-02-26,1-Aug-18,95439
1073,MARIETTA,11469,1,'02-08-25,1-Aug-18,5193
1073,MARIETTA,14968,1,'02-08-25,1-Aug-18,49926
1074,ELKINS,11463,1,'02-08-25,1-Aug-18,85362
1074,ELKINS,20061,1,'02-08-25,14-Jun-18,6559
1075,ST ALBANS,11467,1,'02-08-25,1-Aug-18,42075
1075,ST ALBANS,13671,1,'02-08-25,1-Aug-18,50073
1076,JASPER,11085,1,'01-06-22,1-Aug-18,63402
1076,JASPER,15307,1,'01-06-22,1-Aug-18,37475
1077,DAYTON-ENGLEWOOD,12377,1,'01-06-21,1-Aug-18,84671
1077,DAYTON-ENGLEWOOD,15276,1,'01-06-21,1-Aug-18,79417
1078,COLUMBUS-REED ROAD,11910,1,'01-01-05,1-Aug-18,27919
1078,COLUMBUS-REED ROAD,14002,1,'01-01-05,1-Aug-18,1412
1079,INDIANA,10905,1,'02-08-19,1-Aug-18,68211
1079,INDIANA,12463,1,'02-08-19,1-Aug-18,10849
1080,TOLEDO-NORTH TOWNE,12262,1,'01-01-19,1-Aug-18,44927
1080,TOLEDO-NORTH TOWNE,13258,1,'01-01-19,1-Aug-18,10255
1081,NORWALK,11996,1,'01-01-19,1-Aug-18,2028
1081,NORWALK,14969,1,'01-01-19,1-Aug-18,2261
1082,HAZARD,11071,1,'01-06-32,1-Aug-18,70183
1083,WESTERVILLE-SOUTH,11977,1,'01-01-05,1-Aug-18,68177
1083,WESTERVILLE-SOUTH,13147,1,'01-01-05,1-Aug-18,78828
1084,MEADVILLE,10317,1,'02-08-19,1-Aug-18,75453
1084,MEADVILLE,12764,1,'02-08-19,1-Aug-18,32745
1085,LIVONIA,12366,1,'01-01-08,1-Aug-18,52929
1085,LIVONIA,13000,1,'01-01-08,1-Aug-18,69794
1086,MANSFIELD,20467,4,'02-01-03,1-Aug-18,12325
1086,MANSFIELD,20516,4,'02-01-03,1-Aug-18,81142
1087,MACEDONIA,10080,1,'01-01-06,1-Aug-18,66670
1087,MACEDONIA,13828,1,'01-01-06,1-Aug-18,42191
1088,ALLIANCE,10234,1,'01-01-74,1-Aug-18,15480
1088,ALLIANCE,13730,1,'01-01-74,1-Aug-18,86980
1089,WAYNESBURG,10890,1,'02-08-19,1-Aug-18,68694
1090,SPRINGFIELD-WEST,11853,1,'01-06-21,1-Aug-18,27135
1090,SPRINGFIELD-WEST,13327,1,'01-06-21,1-Aug-18,31825
1091,HARRIS TWP-GRANGER,11391,1,'01-03-38,1-Aug-18,48405
1091,HARRIS TWP-GRANGER,14485,1,'01-03-38,1-Aug-18,14123
1092,SOMERSET,10893,1,'02-08-19,1-Aug-18,8256
1092,SOMERSET,13784,1,'02-08-19,1-Aug-18,14401
1093,MIDDLETOWN,10731,1,'01-06-21,1-Aug-18,40939
1093,MIDDLETOWN,14364,1,'01-06-21,1-Aug-18,20218
1094,PIKEVILLE,11079,1,'01-06-32,1-Aug-18,76985
1094,PIKEVILLE,13222,1,'01-06-32,1-Aug-18,33352
1095,LANSING - SOUTH,12376,1,'01-01-15,1-Aug-18,12898
1095,LANSING - SOUTH,15382,1,'01-01-15,1-Aug-18,80072
1096,UNIVERSITY HTS,11953,1,'01-01-06,1-Aug-18,79480
1096,UNIVERSITY HTS,13096,1,'01-01-06,1-Aug-18,6661
1098,LAPEER,11373,1,'01-01-17,1-Aug-18,26169
1098,LAPEER,12763,1,'01-01-17,1-Aug-18,82973
1099,PLYMOUTH,10700,1,'01-01-08,1-Aug-18,91515
1099,PLYMOUTH,12624,1,'01-01-08,1-Aug-18,90087
1101,LEXINGTON-VERSAILLES,12424,1,'01-06-32,1-Aug-18,39618
1101,LEXINGTON-VERSAILLES,15399,1,'01-06-32,1-Aug-18,25782
1102,ALLISON PARK,10879,1,'02-08-19,1-Aug-18,90683
1102,ALLISON PARK,12953,1,'02-08-19,1-Aug-18,93563
1103,ALTOONA,10908,1,'02-08-05,1-Aug-18,59834
1103,ALTOONA,12798,1,'02-08-05,1-Aug-18,36934
1104,ASHTABULA,10311,1,'01-01-06,1-Aug-18,77585
1104,ASHTABULA,15299,1,'01-01-06,1-Aug-18,70905
1105,PORTAGE,12112,1,'01-03-38,1-Aug-18,43561
1105,PORTAGE,12793,1,'01-03-38,1-Aug-18,74217
1106,BINGHAMTON,10585,1,'02-01-32,1-Aug-18,20766
1107,CLEVELAND-OHIO CITY,20449,6,'01-01-06,1-Aug-18,74240
1107,CLEVELAND-OHIO CITY,20499,6,'01-01-06,1-Aug-18,29611
1108,JAMESTOWN,10614,1,'02-01-16,1-Aug-18,98711
1109,CANTON-MAIN,10235,1,'01-01-74,1-Aug-18,96628
1109,CANTON-MAIN,13810,1,'01-01-74,1-Aug-18,37744
1110,CANTON-MELLET,11980,1,'01-01-74,1-Aug-18,88286
1110,CANTON-MELLET,15400,1,'01-01-74,1-Aug-18,95609
1112,BLOOMINGTON,11924,1,'01-06-02,1-Aug-18,3887
1112,BLOOMINGTON,13841,1,'01-06-02,1-Aug-18,62762
1112,BLOOMINGTON,19808,1,'01-06-02,1-Aug-18,58409
1113,MASSILLON,12121,1,'01-01-74,1-Aug-18,85597
1113,MASSILLON,15292,1,'01-01-74,27-Jul-18,29666
1114,WASHINGTON COURT HOUSE,11938,1,'01-01-05,1-Aug-18,22028
1114,WASHINGTON COURT HOUSE,15401,1,'01-01-05,26-Jul-18,48200
1116,MUNCIE,12130,1,'01-06-12,1-Aug-18,55260
1116,MUNCIE,14066,1,'01-06-12,1-Aug-18,23981
1117,BETHEL PARK,18586,1,'02-08-19,1-Aug-18,38479
1117,BETHEL PARK,20528,1,'02-08-19,1-Aug-18,8249
1118,COLUMBUS-SAWMILL RD,12108,1,'01-01-05,1-Aug-18,34469
1118,COLUMBUS-SAWMILL RD,13020,1,'01-01-05,1-Aug-18,43375
1119,CLEVELAND-KAMMS CORNER,12091,1,'01-01-06,1-Aug-18,8156
1119,CLEVELAND-KAMMS CORNER,14910,1,'01-01-06,1-Aug-18,8635
1120,COLUMBUS-MORSE ROAD,12078,1,'01-01-05,1-Aug-18,75079
1120,COLUMBUS-MORSE ROAD,13418,1,'01-01-05,1-Aug-18,31731
1121,ELMIRA,10587,1,'02-01-32,1-Aug-18,44705
1121,ELMIRA,13165,1,'02-01-32,1-Aug-18,15814
1122,INDY-CARMEL,12099,1,'01-06-02,1-Aug-18,23133
1122,INDY-CARMEL,13105,1,'01-06-02,1-Aug-18,77067
1122,INDY-CARMEL,18436,1,'01-06-02,1-Aug-18,57493
1123,NILES,10236,1,'01-01-06,1-Aug-18,35145
1123,NILES,13266,1,'01-01-06,1-Aug-18,85110
1124,INDY-NEW CASTLE,11295,1,'01-06-02,1-Aug-18,10176
1124,INDY-NEW CASTLE,13974,1,'01-06-02,1-Aug-18,2395
1125,KALAMAZOO-OSHTEMO,12096,1,'01-03-38,1-Aug-18,52914
1125,KALAMAZOO-OSHTEMO,14458,1,'01-03-38,1-Aug-18,43087
1126,BEDFORD,13774,1,'02-08-05,1-Aug-18,42031
1126,BEDFORD,20067,1,'02-08-05,1-Aug-18,46271
1127,AKRON-CHAPEL HILL,12152,1,'01-01-06,1-Aug-18,64779
1127,AKRON-CHAPEL HILL,15402,1,'01-01-06,1-Aug-18,5463
1128,MANSFIELD,10712,1,'01-01-74,1-Aug-18,38578
1128,MANSFIELD,14459,1,'01-01-74,1-Aug-18,43622
1129,MILFORD,12232,1,'01-06-21,1-Aug-18,15987
1129,MILFORD,15248,1,'01-06-21,1-Aug-18,5627
1130,PITTSBURGH-NORTH HILLS,10886,1,'02-08-19,1-Aug-18,69682
1130,PITTSBURGH-NORTH HILLS,12362,1,'02-08-19,1-Aug-18,64485
1131,MT CLEMENS PLAZA,10421,1,'01-01-08,1-Aug-18,22752
1131,MT CLEMENS PLAZA,14176,1,'01-01-08,1-Aug-18,27328
1132,WASHINGTON,10889,1,'02-08-19,1-Aug-18,28930
1132,WASHINGTON,13486,1,'02-08-19,1-Aug-18,99180
1133,TOLEDO-WOODVILLE,12266,1,'01-01-19,1-Aug-18,81714
1133,TOLEDO-WOODVILLE,13273,1,'01-01-19,1-Aug-18,95446
1134,HOLLAND-AIRPORT HWY,12264,1,'01-01-19,1-Aug-18,98408
1134,HOLLAND-AIRPORT HWY,13010,1,'01-01-19,1-Aug-18,96226
1135,EFFINGHAM,13786,1,'01-03-73,1-Aug-18,36607
1135,EFFINGHAM,13816,1,'01-03-73,1-Aug-18,26322
1136,COLUMBUS-EVNSWD COM,12347,1,'01-01-05,1-Aug-18,55054
1136,COLUMBUS-EVNSWD COM,12813,1,'01-01-05,1-Aug-18,43408
1137,TOLEDO-JACKMAN,10705,1,'01-01-19,1-Aug-18,2842
1137,TOLEDO-JACKMAN,13720,1,'01-01-19,1-Aug-18,78053
1139,DAYTON F/C CTR,13762,1,'01-08-49,1-Aug-18,96263
1139,DAYTON F/C CTR,15528,1,'01-08-49,1-Aug-18,698
1140,COLUMBUS-WEST BROAD,11906,1,'01-01-05,1-Aug-18,33816
1140,COLUMBUS-WEST BROAD,13984,1,'01-01-05,1-Aug-18,48652
1141,VAN WERT,11199,1,'01-01-19,1-Aug-18,13828
1141,VAN WERT,14221,1,'01-01-19,1-Aug-18,17778
1143,UNIONTOWN,10888,1,'02-08-19,1-Aug-18,95477
1143,UNIONTOWN,13428,1,'02-08-19,1-Aug-18,67684
1144,WARREN,10237,1,'01-01-06,1-Aug-18,62964
1144,WARREN,12952,1,'01-01-06,1-Aug-18,74342
1145,WHEELING,10891,1,'01-01-74,1-Aug-18,33605
1145,WHEELING,15275,1,'01-01-74,1-Aug-18,19241
1146,SOLON CBD,13857,1,'01-01-06,1-Aug-18,83756
1146,SOLON CBD,13895,1,'01-01-06,1-Aug-18,81818
1147,YOUNGSTOWN-MAIN,10238,1,'01-01-06,1-Aug-18,32320
1147,YOUNGSTOWN-MAIN,12440,1,'01-01-06,1-Aug-18,43178
1148,VESTAL,10588,1,'02-01-32,1-Aug-18,83552
1148,VESTAL,18088,1,'02-01-32,1-Aug-18,36058
1149,BAY CITY,11375,1,'01-01-17,1-Aug-18,6117
1149,BAY CITY,12931,1,'01-01-17,1-Aug-18,76408
1150,NIAGARA FALLS,10606,1,'02-01-16,1-Aug-18,18814
1150,NIAGARA FALLS,13144,1,'02-01-16,1-Aug-18,10257
1151,TOLEDO F/C CTR,13871,1,'01-08-49,1-Aug-18,46358
1151,TOLEDO F/C CTR,20724,1,'01-08-49,10-May-18,399
1152,HILLIARD,12382,1,'01-01-05,1-Aug-18,52918
1152,HILLIARD,13993,1,'01-01-05,1-Aug-18,4177
1153,GROVE CITY,10013,1,'01-01-05,1-Aug-18,73495
1153,GROVE CITY,13157,1,'01-01-05,1-Aug-18,88123
1155,NEW PHILADELPHIA,10239,1,'01-01-74,1-Aug-18,46393
1155,NEW PHILADELPHIA,13265,1,'01-01-74,1-Aug-18,14161
1156,COLUMBUS-SOUTH HIGH,12476,1,'01-01-05,1-Aug-18,25641
1156,COLUMBUS-SOUTH HIGH,14000,1,'01-01-05,1-Aug-18,17941
1157,ASHLAND,10314,1,'01-01-74,1-Aug-18,79585
1157,ASHLAND,14650,1,'01-01-74,1-Aug-18,30599
1158,HAMILTON,10733,1,'01-06-21,1-Aug-18,94007
1158,HAMILTON,15403,1,'01-06-21,1-Aug-18,51382
1159,AVON LAKE,12406,1,'01-01-06,1-Aug-18,12851
1159,AVON LAKE,14241,1,'01-01-06,1-Aug-18,56774
1161,ROCHESTER-HENRIETTA,12431,1,'02-01-16,1-Aug-18,81961
1161,ROCHESTER-HENRIETTA,14973,1,'02-01-16,1-Aug-18,6231
1162,LANCASTER,10014,1,'01-01-05,1-Aug-18,58692
1162,LANCASTER,13402,1,'01-01-05,1-Aug-18,2322
1163,LEXING-NICHOLASVILLE,12425,1,'01-06-32,1-Aug-18,55769
1163,LEXING-NICHOLASVILLE,15404,1,'01-06-32,1-Aug-18,13067
1164,LANSING - WEST,12427,1,'01-01-15,1-Aug-18,97569
1164,LANSING - WEST,13422,1,'01-01-15,1-Aug-18,21957
1165,BUTLER,10911,1,'02-08-19,1-Aug-18,54714
1165,BUTLER,13716,1,'02-08-19,1-Aug-18,64838
1166,NORTH TONAWANDA,10607,1,'02-01-16,1-Aug-18,62273
1166,NORTH TONAWANDA,14156,1,'02-01-16,1-Aug-18,58358
1167,KENTWOOD,12417,1,'01-01-15,1-Aug-18,57697
1167,KENTWOOD,13721,1,'01-01-15,1-Aug-18,38782
1168,CLARION,12446,1,'02-08-19,1-Aug-18,36070
1170,ITHACA,10591,1,'02-01-32,1-Aug-18,86971
1170,ITHACA,12510,1,'02-01-32,1-Aug-18,58317
1171,MEDINA,10319,1,'01-01-06,1-Aug-18,61921
1171,MEDINA,13137,1,'01-01-06,1-Aug-18,14881
1172,UTICA,12513,1,'01-01-08,1-Aug-18,20311
1172,UTICA,12888,1,'01-01-08,1-Aug-18,58846
1172,UTICA,15330,1,'01-01-08,1-Aug-18,24087
1173,ERIE-MAIN,10321,1,'02-08-19,1-Aug-18,64301
1173,ERIE-MAIN,13845,1,'02-08-19,1-Aug-18,34937
1174,DU BOIS,10902,1,'02-08-19,1-Aug-18,70917
1174,DU BOIS,14942,1,'02-08-19,1-Aug-18,93150
1175,CAMPBELLSVILLE,11100,1,'01-06-13,1-Aug-18,61569
1175,CAMPBELLSVILLE,13148,1,'01-06-13,1-Aug-18,46542
1176,CHESTERLAND,12548,1,'01-01-06,1-Aug-18,71187
1176,CHESTERLAND,13823,1,'01-01-06,1-Aug-18,93997
1177,NEW CASTLE,10897,1,'02-08-19,1-Aug-18,77641
1177,NEW CASTLE,19057,1,'02-08-19,1-Aug-18,75290
1178,BADEN-CONWAY,10909,1,'02-08-19,1-Aug-18,99457
1178,BADEN-CONWAY,12817,1,'02-08-19,1-Aug-18,1043
1179,CINCI-KINGS ISLAND,12550,1,'01-06-21,1-Aug-18,96024
1179,CINCI-KINGS ISLAND,12884,1,'01-06-21,1-Aug-18,7008
1180,INDY-N MICHIGAN,12591,1,'01-06-02,1-Aug-18,7777
1180,INDY-N MICHIGAN,14097,1,'01-06-02,1-Aug-18,93112
1180,INDY-N MICHIGAN,18568,1,'01-06-02,1-Aug-18,2382
1181,CORAOPOLIS,10912,1,'02-08-19,1-Aug-18,79198
1181,CORAOPOLIS,13436,1,'02-08-19,1-Aug-18,35544
1182,LOWER BURRELL,10898,1,'02-08-19,1-Aug-18,17637
1182,LOWER BURRELL,13450,1,'02-08-19,1-Aug-18,37103
1183,ALIQUIPPA-HOPEWELL,12585,1,'02-08-19,1-Aug-18,11920
1184,ANN ARBOR,10699,1,'01-01-08,1-Aug-18,72139
1184,ANN ARBOR,12986,1,'01-01-08,1-Aug-18,17687
1184,ANN ARBOR,18633,1,'01-01-08,1-Aug-18,33488
1185,WEIRTON,10240,1,'01-01-74,1-Aug-18,65508
1185,WEIRTON,15405,1,'01-01-74,1-Aug-18,48821
1186,GARFIELD HTS,12588,1,'01-01-06,1-Aug-18,22103
1186,GARFIELD HTS,14307,1,'01-01-06,27-Jul-18,58845
1187,HUDSON,12587,1,'01-01-06,1-Aug-18,13070
1187,HUDSON,13134,1,'01-01-06,1-Aug-18,192
1188,JACKSON,10703,1,'01-03-38,1-Aug-18,10121
1188,JACKSON,13056,1,'01-03-38,1-Aug-18,53121
1189,ZANESVILLE,10015,1,'01-01-05,1-Aug-18,56578
1189,ZANESVILLE,15406,1,'01-01-05,1-Aug-18,2610
1190,PITTSBURGH-E. LIBERTY,12590,1,'02-08-19,1-Aug-18,4248
1191,SAGINAW-THOMAS TOWNSHIP,11368,1,'01-01-17,1-Aug-18,55515
1191,SAGINAW-THOMAS TOWNSHIP,15407,1,'01-01-17,1-Aug-18,65458
