CREDIT_HIERARCHY,4,010121,010121012,010121012701102,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701117,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701130,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701132,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701143,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701165,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701168,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701173,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701174,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701177,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701178,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701181,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701182,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701183,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701190,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701267,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701268,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701271,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701272,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701278,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701294,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701314,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701328,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701355,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701387,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701441,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701446,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701449,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701498,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701627,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701637,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701786,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701806,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701818,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701819,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701865,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701870,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701874,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701879,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701880,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701881,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701941,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012701950,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012703801,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012703803,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012703805,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012703982,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012704359,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012705163,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,4,010121,010121012,010121012705356,20160824,,PITTSBURGH,012
CREDIT_HIERARCHY,5,010121012,010121012701044,,20160824,,KITTANNING
CREDIT_HIERARCHY,5,010121012,010121012701051,,20160824,,FRANKLIN
CREDIT_HIERARCHY,5,010121012,010121012701061,,20160824,,PITTSBURGH-PENN HILLS
CREDIT_HIERARCHY,5,010121012,010121012701069,,20160824,,NORTH HUNTINGDON
CREDIT_HIERARCHY,5,010121012,010121012701079,,20160824,,INDIANA
CREDIT_HIERARCHY,5,010121012,010121012701084,,20160824,,MEADVILLE
CREDIT_HIERARCHY,5,010121012,010121012701089,,20160824,,WAYNESBURG
CREDIT_HIERARCHY,5,010121012,010121012701092,,20160824,,SOMERSET
CREDIT_HIERARCHY,5,010121012,010121012701102,,20160824,,ALLISON PARK
CREDIT_HIERARCHY,5,010121012,010121012701117,,20160824,,BETHEL PARK
CREDIT_HIERARCHY,5,010121012,010121012701130,,20160824,,PITTSBURGH-NORTH HILLS
CREDIT_HIERARCHY,5,010121012,010121012701132,,20160824,,WASHINGTON
CREDIT_HIERARCHY,5,010121012,010121012701143,,20160824,,UNIONTOWN
CREDIT_HIERARCHY,5,010121012,010121012701165,,20160824,,BUTLER
CREDIT_HIERARCHY,5,010121012,010121012701168,,20160824,,CLARION
CREDIT_HIERARCHY,5,010121012,010121012701173,,20160824,,ERIE-MAIN
CREDIT_HIERARCHY,5,010121012,010121012701174,,20160824,,DU BOIS
CREDIT_HIERARCHY,5,010121012,010121012701177,,20160824,,NEW CASTLE
CREDIT_HIERARCHY,5,010121012,010121012701178,,20160824,,BADEN-CONWAY
CREDIT_HIERARCHY,5,010121012,010121012701181,,20160824,,CORAOPOLIS
CREDIT_HIERARCHY,5,010121012,010121012701182,,20160824,,LOWER BURRELL
CREDIT_HIERARCHY,5,010121012,010121012701183,,20160824,,ALIQUIPPA-HOPEWELL
CREDIT_HIERARCHY,5,010121012,010121012701190,,20160824,,PITTSBURGH-E. LIBERTY
CREDIT_HIERARCHY,5,010121012,010121012701267,,20160824,,GROVE CITY
CREDIT_HIERARCHY,5,010121012,010121012701268,,20160824,,CASTLE SHANNON
CREDIT_HIERARCHY,5,010121012,010121012701271,,20160824,,NORTH STRABANE
CREDIT_HIERARCHY,5,010121012,010121012701272,,20160824,,ST MARY'S
CREDIT_HIERARCHY,5,010121012,010121012701278,,20160824,,BRIDGEVILLE-COMMERCIAL
CREDIT_HIERARCHY,5,010121012,010121012701294,,20160824,,CLEARFIELD
CREDIT_HIERARCHY,5,010121012,010121012701314,,20160824,,MOUNT PLEASANT
CREDIT_HIERARCHY,5,010121012,010121012701328,,20160824,,WEST MIFFLIN
CREDIT_HIERARCHY,5,010121012,010121012701355,,20160824,,PITTSBURGH-SHADY SIDE
CREDIT_HIERARCHY,5,010121012,010121012701387,,20160824,,MURRYSVILLE
CREDIT_HIERARCHY,5,010121012,010121012701441,,20160824,,PITTSBURGH-GREENTREE RD
CREDIT_HIERARCHY,5,010121012,010121012701446,,20160824,,EBENSBURG
CREDIT_HIERARCHY,5,010121012,010121012701449,,20160824,,ASPINWALL-PITTSBURGH
CREDIT_HIERARCHY,5,010121012,010121012701498,,20160824,,LATROBE
CREDIT_HIERARCHY,5,010121012,010121012701627,,20160824,,HERMITAGE
CREDIT_HIERARCHY,5,010121012,010121012701637,,20160824,,PITTSBURGH-MONROEVILLE
CREDIT_HIERARCHY,5,010121012,010121012701786,,20160824,,MONESSEN
CREDIT_HIERARCHY,5,010121012,010121012701806,,20160824,,JOHNSTOWN
CREDIT_HIERARCHY,5,010121012,010121012701818,,20160824,,FOREST HILLS
CREDIT_HIERARCHY,5,010121012,010121012701819,,20160824,,MCKEESPORT
CREDIT_HIERARCHY,5,010121012,010121012701865,,20160824,,SEWICKLEY
CREDIT_HIERARCHY,5,010121012,010121012701870,,20160824,,PITTSBURGH-MT NEBO
CREDIT_HIERARCHY,5,010121012,010121012701874,,20160824,,ELLWOOD CITY
CREDIT_HIERARCHY,5,010121012,010121012701879,,20160824,,GREENSBURG
CREDIT_HIERARCHY,5,010121012,010121012701880,,20160824,,WEXFORD
CREDIT_HIERARCHY,5,010121012,010121012701881,,20160824,,BEAVER FALLS
CREDIT_HIERARCHY,5,010121012,010121012701941,,20160824,,04/13 CORRY
CREDIT_HIERARCHY,5,010121012,010121012701950,,20160824,,ERIE-HARBOR CREEK
CREDIT_HIERARCHY,5,010121012,010121012703801,,20160824,,PITTSBURGH-SMALLMAN ST
CREDIT_HIERARCHY,5,010121012,010121012703803,,20160824,,08/07 DUR-MONROEVILLE
CREDIT_HIERARCHY,5,010121012,010121012703805,,20160824,,BRIDGEVILLE
CREDIT_HIERARCHY,5,010121012,010121012703982,,20160824,,PITTSBURGH-NORTH FAYETTE TOWNS
CREDIT_HIERARCHY,5,010121012,010121012704359,,20160824,,PITTSBURGH-COMMERCIAL
CREDIT_HIERARCHY,5,010121012,010121012705163,,20160824,,CRANBERRY
CREDIT_HIERARCHY,5,010121012,010121012705356,,20160824,,ERIE
CREDIT_HIERARCHY,4,010121,010121013,010121013701883,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013701886,20160824,,NEW JERSEY COASTAL,013
CREDIT_HIERARCHY,4,010121,010121013,010121013703468,20160824,,NEW JERSEY COASTAL,013
